Song - august, Popularity - 90
Song - I Can See You (Taylor’s Version) (From The Vault), Popularity - 92
Song - Karma, Popularity - 92
Song - Lover, Popularity - 92
Song - Don’t Blame Me, Popularity - 92
Song - Blank Space, Popularity - 92
Song - Style, Popularity - 92
Song - cardigan, Popularity - 93
Song - Anti-Hero, Popularity - 95
Song - Cruel Summer, Popularity - 99
